CD_ESTACAO;DT_MEDICAO;HR_MEDICAO;CHUVA
A803;2020-11-04;2000;
A803;2020-11-04;2200;
A803;2020-11-03;0;
A803;2020-11-03;200;
A803;2020-11-03;400;
A803;2020-11-03;600;
A803;2020-11-03;1100;
A803;2020-11-03;1200;
A803;2020-11-03;1300;
A803;2020-11-03;1500;
A803;2020-11-03;1600;
A803;2020-11-03;1900;
A803;2020-11-03;2100;
A803;2020-11-03;2200;
A803;2020-11-02;0;
A803;2020-11-02;100;
A803;2020-11-02;200;
A803;2020-11-02;500;
A803;2020-11-02;900;
A803;2020-11-02;1000;
A803;2020-11-02;1100;
A803;2020-11-02;1300;
A803;2020-11-02;1400;
A803;2020-11-02;1500;
A803;2020-11-02;1700;
A803;2020-11-02;1900;
A803;2020-11-02;2000;
A803;2020-11-02;2200;
A803;2020-11-02;2300;
A803;2020-11-01;0;
A803;2020-11-01;100;
A803;2020-11-01;300;
A803;2020-11-01;400;
A803;2020-11-01;600;
A803;2020-11-01;700;
A803;2020-11-01;900;
A803;2020-11-01;1100;
A803;2020-11-01;1300;
A803;2020-11-01;1500;
A803;2020-11-01;1700;
A803;2020-11-01;1800;
A803;2020-11-01;1900;
A803;2020-11-01;2000;
A803;2020-11-01;2200;
A803;2020-10-31;100;
A803;2020-10-31;200;
A803;2020-10-31;400;
A803;2020-10-31;500;
A803;2020-10-31;800;
A803;2020-10-31;900;
A803;2020-10-31;1000;
A803;2020-10-31;1100;
A803;2020-10-31;1200;
A803;2020-10-31;1400;
A803;2020-10-31;1500;
A803;2020-10-31;1700;
A803;2020-10-31;1900;
A803;2020-10-31;2100;
A803;2020-10-31;2200;
A803;2020-10-31;2300;
A803;2020-10-30;0;
A803;2020-10-30;100;
A803;2020-10-30;200;
A803;2020-10-30;300;
A803;2020-10-30;500;
A803;2020-10-30;600;
A803;2020-10-30;800;
A803;2020-10-30;1200;
A803;2020-10-30;1300;
A803;2020-10-30;1500;
A803;2020-10-30;1600;
A803;2020-10-30;1900;
A803;2020-10-30;2100;
A803;2020-10-29;100;
A803;2020-10-29;200;
A803;2020-10-29;500;
A803;2020-10-29;600;
A803;2020-10-29;800;
A803;2020-10-29;900;
A803;2020-10-29;1200;
A803;2020-10-29;1300;
A803;2020-10-29;1400;
A803;2020-10-29;1500;
A803;2020-10-29;1600;
A803;2020-10-29;1800;
A803;2020-10-29;1900;
A803;2020-10-29;2000;
A803;2020-10-29;2100;
A803;2020-10-29;2200;
A803;2020-10-29;2300;
A803;2020-10-28;0;
A803;2020-10-28;200;
A803;2020-10-28;400;
A803;2020-10-28;500;
A803;2020-10-28;700;
A803;2020-10-28;800;
A803;2020-10-28;900;
A803;2020-10-28;1000;
A803;2020-10-28;1100;
A803;2020-10-28;1200;
A803;2020-10-28;1400;
A803;2020-10-28;1600;
A803;2020-10-28;1700;
A803;2020-10-28;1800;
A803;2020-10-28;1900;
A803;2020-10-28;2000;
A803;2020-10-28;2200;
A803;2020-10-27;0;
A803;2020-10-27;100;
A803;2020-10-27;200;
A803;2020-10-27;300;
A803;2020-10-27;800;
A803;2020-10-27;1000;
A803;2020-10-27;1200;
A803;2020-10-27;1300;
A803;2020-10-27;1500;
A803;2020-10-27;1600;
A803;2020-10-27;1700;
A803;2020-10-27;1800;
A803;2020-10-27;2000;
A803;2020-10-27;2200;
A803;2020-10-27;2300;
A803;2020-10-26;100;
A803;2020-10-26;400;
A803;2020-10-26;500;
A803;2020-10-26;600;
A803;2020-10-26;700;
A803;2020-10-26;1100;
A803;2020-10-26;1300;
A803;2020-10-26;1400;
A803;2020-10-26;1500;
A803;2020-10-26;1600;
A803;2020-10-26;1800;
A803;2020-10-26;1900;
A803;2020-10-25;0;
A803;2020-10-25;200;
A803;2020-10-25;300;
A803;2020-10-25;400;
A803;2020-10-25;500;
A803;2020-10-25;600;
A803;2020-10-25;700;
A803;2020-10-25;900;
A803;2020-10-25;1000;
A803;2020-10-25;1300;
A803;2020-10-25;1500;
A803;2020-10-25;1600;
A803;2020-10-25;1900;
A803;2020-10-25;2000;
A803;2020-10-25;2100;
A803;2020-10-25;2300;
A803;2020-10-24;0;
A803;2020-10-24;300;
A803;2020-10-24;400;
A803;2020-10-24;600;
A803;2020-10-24;800;
A803;2020-10-24;900;
A803;2020-10-24;1000;
A803;2020-10-24;1200;
A803;2020-10-24;1500;
A803;2020-10-24;1900;
